testo,label
"Questo prodotto è fantastico, funziona benissimo",1
Sono molto soddisfatto del servizio clienti,1
L'esperienza di acquisto è stata eccellente,1
Il manuale è chiaro e facile da seguire,1
Consiglierei sicuramente questo corso ai miei amici,1
"Il prodotto è mediocre, mi aspettavo di più",0
La spedizione è stata lenta e poco precisa,0
Non sono soddisfatto della qualità dei materiali,0
"Il software va spesso in crash, è frustrante",0
L'assistenza non ha risolto il mio problema,0
